ndbno,name,upc,ru,203,204,205,207,208,209,210,211,212,213,214,221,255,257,262,263,268,269,287,291,301,303,304,305,306,307,309,312,313,315,317,318,319,320,321,322,323,324,325,326,328,334,337,338,341,342,343,344,345,346,347,401,404,405,406,410,415,417,418,421,428,429,430,431,432,435,454,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,521,573,578,601,605,606,607,608,609,610,611,612,613,614,615,617,618,619,620,621,624,625,626,627,628,629,630,631,636,638,639,641,645,646,652,653,654,662,663,664,665,666,669,670,671,672,673,674,675,676,685,687,689,693,695,696,697,710,711,712,713,714,715,716,731,733,734,735,736,737,738,740,741,742,743,745,749,750,751,752,753,755,756,758,759,762,770,773,785,786,788,789,791,792,793,794,796,851,852,853,855,856,857,858,859
45001524,kokokkkkk,019022128593,g,2.50,6.25,35.00,"",200,"","","","","","","","","","","","",30.00,"",0.0,50,0.00,"","","",75,"","","","","",0,"","","","","","","","","","","","","","","","","","","",3.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",25,0.000,3.750,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
